lat,lng,elevation
(49.24146, 20.04385),1834.232788085938
(49.24232648338257, 20.0432907309519),1786.38671875
(49.24319296406538, 20.04273144227723),1730.679443359375
(49.24405944204825, 20.04217213397478),1671.860717773438
(49.24492591733102, 20.04161280604331),1621.961303710938
(49.2457923899135, 20.04105345848159),1580.95556640625
(49.2466588597955, 20.0404940912884),1554.011962890625
(49.24752532697687, 20.03993470446251),1536.822143554688
(49.2483917914574, 20.03937529800268),1525.165161132812
(49.24925825323694, 20.0388158719077),1512.735961914062
(49.25012471231531, 20.03825642617633),1497.704467773438
(49.25099116869232, 20.03769696080734),1504.641845703125
(49.2518576223678, 20.03713747579951),1528.151611328125
(49.25272407334158, 20.0365779711516),1533.678100585938
(49.25359052161345, 20.03601844686239),1518.389404296875
(49.25445696718327, 20.03545890293066),1493.732421875
(49.25532341005085, 20.03489933935516),1472.954467773438
(49.25618985021602, 20.03433975613467),1455.46728515625
(49.25705628767858, 20.03378015326797),1439.549072265625
(49.25792272243836, 20.03322053075381),1421.276245117188
(49.2587891544952, 20.03266088859097),1401.116333007812
(49.2596555838489, 20.03210122677823),1374.670654296875
(49.26052201049931, 20.03154154531436),1332.679077148438
(49.26138843444622, 20.03098184419812),1288.795532226562
(49.26225485568948, 20.03042212342828),1257.659301757812
(49.26312127422889, 20.02986238300361),1243.291137695312
(49.26398769006429, 20.0293026229229),1242.446533203125
(49.2648541031955, 20.02874284318489),1260.220703125
(49.26572051362233, 20.02818304378837),1286.064697265625
(49.2665869213446, 20.0276232247321),1304.737060546875
(49.26745332636215, 20.02706338601486),1310.445556640625
(49.2683197286748, 20.02650352763541),1305.866333007812
(49.26918612828237, 20.02594364959252),1302.26220703125
(49.27005252518467, 20.02538375188496),1294.330932617188
(49.27091891938153, 20.02482383451151),1284.702026367188
(49.27178531087278, 20.02426389747092),1272.069091796875
(49.27265169965823, 20.02370394076198),1260.529541015625
(49.27351808573771, 20.02314396438344),1241.48974609375
(49.27438446911105, 20.02258396833408),1223.7255859375
(49.27525084977805, 20.02202395261267),1206.102905273438
(49.27611722773855, 20.02146391721797),1179.621948242188
(49.27698360299236, 20.02090386214875),1155.249877929688
(49.27784997553931, 20.0203437874038),1135.468139648438
(49.27871634537922, 20.01978369298185),1113.65087890625
(49.27958271251191, 20.0192235788817),1099.674560546875
(49.28044907693722, 20.01866344510211),1089.077514648438
(49.28131543865494, 20.01810329164184),1080.957763671875
(49.28218179766492, 20.01754311849966),1072.873168945312
(49.28304815396697, 20.01698292567435),1066.195068359375
(49.28391450756092, 20.01642271316467),1059.474487304688
(49.28478085844657, 20.01586248096938),1045.734130859375
(49.28564720662376, 20.01530222908726),1034.712890625
(49.28651355209231, 20.01474195751707),1026.460327148438
(49.28737989485204, 20.01418166625757),1017.864074707031
(49.28824623490278, 20.01362135530756),1005.630737304688
(49.28911257224434, 20.01306102466577),993.2705078125
(49.28997890687655, 20.01250067433099),987.7269287109375
(49.29084523879923, 20.01194030430198),989.9749145507812
(49.29171156801219, 20.0113799145775),989.614990234375
(49.29257789451527, 20.01081950515632),983.2357177734375
(49.29344421830829, 20.01025907603722),972.267822265625
(49.29431053939106, 20.00969862721896),955.3929443359375
(49.29517685776342, 20.0091381587003),935.3404541015625
(49.29604317342515, 20.00857767048),917.2063598632812
(49.29690948637613, 20.00801716255685),901.8030395507812
(49.29777579661614, 20.0074566349296),880.521240234375
(49.29864210414502, 20.00689608759702),870.1532592773438
(49.29950840896259, 20.00633552055787),868.5994262695312
(49.30037471106866, 20.00577493381093),869.5719604492188
(49.30124101046307, 20.00521432735495),887.3555908203125
(49.30210730714563, 20.00465370118871),895.106689453125
(49.30297360111616, 20.00409305531097),889.1563720703125
(49.30383989237449, 20.0035323897205),872.75146484375
(49.30470618092044, 20.00297170441606),854.5791015625
(49.30557246675382, 20.00241099939641),849.3236083984375
(49.30643874987447, 20.00185027466033),861.1876831054688
(49.3073050302822, 20.00128953020657),858.0526123046875
(49.30817130797683, 20.00072876603391),844.214111328125
(49.30903758295818, 20.0001679821411),840.71435546875
(49.30990385522609, 19.99960717852693),841.2992553710938
(49.31077012478036, 19.99904635519014),851.4036865234375
(49.31163639162082, 19.9984855121295),851.3904418945312
(49.31250265574731, 19.99792464934378),846.4165649414062
(49.31336891715961, 19.99736376683175),835.8381958007812
(49.31423517585758, 19.99680286459215),826.1233520507812
(49.3150948570199, 19.9962208397038),819.7796020507812
(49.31592349874104, 19.9955391783995),815.1907958984375
(49.31675213645305, 19.99485749415875),810.4134521484375
(49.31758077015565, 19.99417578698023),807.60400390625
(49.3184093998486, 19.99349405686258),803.3670654296875
(49.31923802553165, 19.99281230380449),800.6223754882812
(49.32006664720453, 19.99213052780461),798.8419799804688
(49.320895264867, 19.99144872886162),795.1149291992188
(49.32172387851883, 19.9907669069742),781.504638671875
(49.32255248815974, 19.99008506214099),770.2396850585938
(49.32338109378949, 19.98940319436067),759.6217651367188
(49.3242096954078, 19.98872130363191),756.1881103515625
(49.32503829301447, 19.98803938995338),755.8529663085938
(49.3258668866092, 19.98735745332374),755.4735717773438
(49.32669547619176, 19.98667549374166),785.7582397460938
(49.3275240617619, 19.98599351120581),817.3421020507812
(49.32835264331935, 19.98531150571485),852.7941284179688
(49.32918122086387, 19.98462947726745),886.5690307617188
(49.33000979439519, 19.98394742586228),921.2454833984375
(49.33083836391309, 19.983265351498),903.0106811523438
