lat,lng,elevation
(52.66528, 16.69587),63.07339096069336
(52.66268755511878, 16.69466056460894),59.93616485595703
(52.66009509792816, 16.69345127268408),58.27550506591797
(52.65750262843075, 16.69224212419564),73.10723876953125
(52.65491014662919, 16.69103311911383),79.82601165771484
(52.65231765252607, 16.68982425740886),66.891357421875
(52.64972514612401, 16.68861553905097),71.7782974243164
(52.64713262742565, 16.68740696401039),74.99959564208984
(52.64454009643355, 16.68619853225736),74.98828887939453
(52.64194755315035, 16.68499024376214),76.74769592285156
(52.63935499757867, 16.68378209849498),93.55229949951172
(52.6367624297211, 16.68257409642615),77.85877990722656
(52.63416984958025, 16.68136623752593),78.89479064941406
(52.63157725715874, 16.6801585217646),76.84330749511719
(52.62898465245917, 16.67895094911244),76.63648223876953
(52.62639203548414, 16.67774351953976),77.38925170898438
(52.62379940623626, 16.67653623301686),78.44429779052734
(52.62120676471814, 16.67532908951407),78.71623992919922
(52.61861411093238, 16.67412208900168),78.19719696044922
(52.61602144488159, 16.67291523145005),78.08133697509766
(52.61342876656836, 16.6717085168295),78.56491088867188
(52.6108360759953, 16.67050194511037),80.03203582763672
(52.60824337316501, 16.66929551626303),80.09306335449219
(52.60565065808011, 16.66808923025783),78.60435485839844
(52.60305793074316, 16.66688308706514),78.69966888427734
(52.60046519115679, 16.66567708665533),79.03933715820312
(52.59787243932358, 16.66447122899879),79.67137145996094
(52.59527967524615, 16.66326551406592),79.57699584960938
(52.59268689892707, 16.6620599418271),78.55645751953125
(52.59009411036897, 16.66085451225275),74.56985473632812
(52.58750130957442, 16.65964922531328),75.22657775878906
(52.58490849654603, 16.65844408097911),75.27552795410156
(52.58231567128637, 16.65723907922069),75.72911834716797
(52.57972283379807, 16.65603422000843),74.91265869140625
(52.57712998408369, 16.65482950331279),75.21002960205078
(52.57453712214584, 16.65362492910422),82.64484405517578
(52.5719442479871, 16.65242049735318),72.06725311279297
(52.56935136161009, 16.65121620803015),70.86359405517578
(52.56675846301736, 16.65001206110559),72.75205993652344
(52.56416555221152, 16.64880805655),76.8690185546875
(52.56157262919518, 16.64760419433386),84.03605651855469
(52.55897969397088, 16.64640047442767),78.38628387451172
(52.55638674654124, 16.64519689680196),82.22559356689453
(52.55379378690884, 16.64399346142721),83.43840026855469
(52.55120081507626, 16.64279016827397),82.387939453125
(52.54860783104611, 16.64158701731276),83.29692077636719
(52.54601483482094, 16.64038400851412),83.81707000732422
(52.54342182640335, 16.6391811418486),91.76880645751953
(52.54082880579592, 16.63797841728675),88.21109771728516
(52.53823577300124, 16.63677583479913),87.24617004394531
(52.5356427280219, 16.63557339435631),87.63700103759766
(52.53304967086044, 16.63437109592887),84.37101745605469
(52.5304566015195, 16.6331689394874),86.62700653076172
(52.5278635200016, 16.63196692500248),87.99002838134766
(52.52527042630937, 16.63076505244472),86.40425872802734
(52.52267732044536, 16.62956332178472),86.6861343383789
(52.52008420241214, 16.62836173299311),88.76451110839844
