lat,lng,elevation
(51.24563, 22.03368),205.9818572998047
(51.24621330908732, 22.03361302588089),208.1223602294922
(51.24679661813643, 22.03354605006287),210.4910888671875
(51.24737992714733, 22.03347907254587),212.392578125
(51.24796323611999, 22.03341209332982),213.4821166992188
(51.24854654505445, 22.03334511241461),213.4900360107422
(51.24912985395068, 22.0332781298002),214.2419891357422
(51.24971316280867, 22.03321114548648),214.0370483398438
(51.25029647162843, 22.0331441594734),213.3460083007812
(51.25087978040997, 22.03307717176086),212.9943389892578
(51.25146308915328, 22.03301018234879),212.9332122802734
(51.25204639785834, 22.0329431912371),212.9593353271484
(51.25262970652518, 22.03287619842573),212.6651611328125
(51.25321301515378, 22.0328092039146),212.0594940185547
(51.25379632374414, 22.03274220770361),210.4979553222656
(51.25437963229626, 22.03267520979271),208.7989501953125
(51.25496294081014, 22.0326082101818),207.5499725341797
(51.25554624928577, 22.03254120887081),206.6364288330078
(51.25612955772316, 22.03247420585966),205.5857086181641
(51.25671286612229, 22.03240720114828),203.9842834472656
(51.25729617448317, 22.03234019473657),203.1519470214844
(51.25787948280582, 22.03227318662448),202.3024444580078
(51.2584627910902, 22.0322061768119),200.9058837890625
(51.25904609933633, 22.03213916529878),199.2068786621094
(51.2596294075442, 22.03207215208503),197.2618103027344
(51.26021271571381, 22.03200513717057),194.9044342041016
(51.26079602384516, 22.03193812055532),194.054931640625
(51.26137933193826, 22.0318711022392),194
(51.26196263999309, 22.03180408222214),194.6440734863281
(51.26254594800965, 22.03173706050407),195.4935760498047
(51.26312925598794, 22.03167003708488),195.9450531005859
(51.26371256392796, 22.03160301196451),195.4622650146484
(51.26429587182972, 22.0315359851429),193.6340789794922
(51.2648791796932, 22.03146895661993),191.2875061035156
(51.26546248751841, 22.03140192639556),190.2588958740234
(51.26604579530533, 22.03133489446969),189.4093933105469
(51.26662910305399, 22.03126786084225),188.7180480957031
(51.26721241076436, 22.03120082551315),187.9721069335938
(51.26779571843645, 22.03113378848233),187.1412658691406
(51.26837902607026, 22.03106674974969),187.0007629394531
(51.26896233366578, 22.03099970931518),187
(51.26954564122302, 22.03093266717869),187.6876220703125
(51.27012894874196, 22.03086562334016),188
(51.27071225622262, 22.03079857779951),187.7386779785156
(51.27129556366499, 22.03073153055666),187.3221588134766
(51.27187887106905, 22.03066448161152),186.9143676757812
